Go package,License file URL,License type
github.com/ugorji/go/codec,https://github.com/ugorji/go/blob/codec/v1.2.9/codec/LICENSE,MIT
github.com/vektah/gqlparser/v2,https://github.com/vektah/gqlparser/blob/v2.4.6/LICENSE,MIT
github.com/veraison/ccatoken,https://github.com/veraison/ccatoken/blob/v1.0.0/LICENSE,Apache-2.0
github.com/veraison/cmw,https://github.com/veraison/cmw/blob/v0.1.0/LICENSE,Apache-2.0
github.com/veraison/corim,https://github.com/veraison/corim/blob/v1.0.0/LICENSE,Apache-2.0
github.com/veraison/dice,https://github.com/veraison/dice/blob/v0.0.1/LICENSE,Apache-2.0
github.com/veraison/ear,https://github.com/veraison/ear/blob/v1.1.0/LICENSE,Apache-2.0
github.com/veraison/eat,https://github.com/veraison/eat/blob/ddaf59d69f53/LICENSE,Apache-2.0
github.com/veraison/go-cose,https://github.com/veraison/go-cose/blob/v1.0.0-rc.1/LICENSE,MPL-2.0
github.com/veraison/parsectpm,https://github.com/veraison/parsectpm/blob/v0.0.3/LICENSE,Apache-2.0
github.com/veraison/psatoken,https://github.com/veraison/psatoken/blob/v1.1.0/LICENSE,Apache-2.0
github.com/veraison/services,https://github.com/veraison/services/blob/HEAD/LICENSE,Apache-2.0
github.com/veraison/swid,https://github.com/veraison/swid/blob/v1.1.0/LICENSE,Apache-2.0
github.com/x448/float16,https://github.com/x448/float16/blob/v0.8.4/LICENSE,MIT
github.com/xeipuuv/gojsonpointer,https://github.com/xeipuuv/gojsonpointer/blob/02993c407bfb/LICENSE-APACHE-2.0.txt,Apache-2.0
github.com/xeipuuv/gojsonreference,https://github.com/xeipuuv/gojsonreference/blob/bd5ef7bd5415/LICENSE-APACHE-2.0.txt,Apache-2.0
github.com/yashtewari/glob-intersection,https://github.com/yashtewari/glob-intersection/blob/v0.1.0/LICENSE,Apache-2.0
go.uber.org/atomic,https://github.com/uber-go/atomic/blob/v1.10.0/LICENSE.txt,MIT
go.uber.org/multierr,https://github.com/uber-go/multierr/blob/v1.8.0/LICENSE.txt,MIT
go.uber.org/zap,https://github.com/uber-go/zap/blob/v1.23.0/LICENSE.txt,MIT
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.5.0:LICENSE,BSD-3-Clause
golang.org/x/net,https://cs.opensource.google/go/x/net/+/v0.7.0:LICENSE,BSD-3-Clause
golang.org/x/sync/singleflight,https://cs.opensource.google/go/x/sync/+/0de741cf:LICENSE,BSD-3-Clause
golang.org/x/sys/unix,https://cs.opensource.google/go/x/sys/+/v0.5.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.7.0:LICENSE,BSD-3-Clause
google.golang.org/genproto/googleapis/rpc/status,https://github.com/googleapis/go-genproto/blob/8cd45d7dbd1f/LICENSE,Apache-2.0
google.golang.org/grpc,https://github.com/grpc/grpc-go/blob/v1.49.0/LICENSE,Apache-2.0
google.golang.org/protobuf,https://github.com/protocolbuffers/protobuf-go/blob/v1.28.1/LICENSE,BSD-3-Clause
gopkg.in/ini.v1,https://github.com/go-ini/ini/blob/v1.67.0/LICENSE,Apache-2.0
gopkg.in/yaml.v2,https://github.com/go-yaml/yaml/blob/v2.4.0/LICENSE,Apache-2.0
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE,MIT
